id,fractal_id,symbol,direction,entry_price,sl_initial,volume_total,volume_per,status,source_timeframe,created_at
4291,881225,XAUUSDc,SELL,4127.34732,4132.095,0.03,0.03,closed,5min,2026-07-02T22:16:19.281598
4290,881184,XAUUSDc,SELL,4127.04856,4134.951,0.03,0.03,closed,5min,2026-07-02T22:16:17.867614
4289,880528,XAUUSDc,BUY,4124.20008,4105.686,0.03,0.03,active,5min,2026-07-02T22:01:22.009817
4288,879722,XAUUSDc,SELL,4119.54148,4122.596,0.03,0.03,active,5min,2026-07-02T20:50:15.203032
4287,879719,XAUUSDc,SELL,4120.79056,4124.598,0.03,0.03,closed,5min,2026-07-02T20:50:13.933059
4286,879570,XAUUSDc,SELL,4120.79056,4124.598,0.03,0.03,closed,5min,2026-07-02T20:46:20.456245
4285,878305,XAUUSDc,SELL,4122.35716,4126.11,0.03,0.03,active,5min,2026-07-02T20:20:12.042176
4284,878151,XAUUSDc,SELL,4120.79056,4124.598,0.03,0.03,closed,5min,2026-07-02T20:18:10.109286
4283,877663,XAUUSDc,SELL,4122.35716,4126.11,0.03,0.03,closed,5min,2026-07-02T20:06:22.466565
4282,876899,XAUUSDc,BUY,4087.8403200000002,3915.954,0.03,0.03,closed,2H,2026-07-02T20:06:08.922642
4281,876898,XAUUSDc,BUY,4102.34616,4065.984,0.03,0.03,closed,2H,2026-07-02T20:06:07.720383
4280,876665,XAUUSDc,BUY,4076.05612,3915.301,0.03,0.03,closed,4H,2026-07-02T20:06:06.466570
4279,877513,XAUUSDc,SELL,4122.35716,4126.11,0.03,0.03,closed,5min,2026-07-02T20:01:06.248004
4278,877509,XAUUSDc,SELL,4120.79056,4124.598,0.03,0.03,closed,5min,2026-07-02T20:01:03.444159
4277,877016,XAUUSDc,SELL,4122.36936,4144.297,0.03,0.03,closed,2H,2026-07-02T20:00:40.797438
4276,877014,XAUUSDc,SELL,4138.80796,4161.36,0.03,0.03,closed,2H,2026-07-02T20:00:37.400466
4275,877013,XAUUSDc,SELL,4180.46072,4271.286,0.03,0.03,closed,2H,2026-07-02T20:00:32.201603
4274,875498,XAUUSDc,BUY,4109.06164,4093.627,0.03,0.03,closed,5min,2026-07-02T19:30:21.932833
4273,875017,XAUUSDc,BUY,4109.06164,4093.627,0.03,0.03,closed,5min,2026-07-02T19:26:06.364541
4272,874683,XAUUSDc,BUY,4107.38044,4099.045,0.03,0.03,closed,5min,2026-07-02T19:16:12.005838
4271,874627,XAUUSDc,SELL,4114.942279999999,4120.521,0.03,0.03,closed,15min,2026-07-02T19:16:09.341691
4270,874448,XAUUSDc,SELL,4119.54148,4122.596,0.03,0.03,closed,5min,2026-07-02T19:10:06.137897
4269,874298,XAUUSDc,SELL,4119.54148,4122.596,0.03,0.03,closed,5min,2026-07-02T19:06:08.394697
4268,874295,XAUUSDc,SELL,4120.79056,4124.598,0.03,0.03,closed,5min,2026-07-02T19:06:07.647754
4267,874259,XAUUSDc,SELL,4119.21256,4120.521,0.03,0.03,closed,5min,2026-07-02T19:06:06.852405
4266,873519,XAUUSDc,SELL,4122.35716,4126.11,0.03,0.03,closed,5min,2026-07-02T18:50:08.063674
4265,873370,XAUUSDc,SELL,4122.35716,4126.11,0.03,0.03,closed,5min,2026-07-02T18:46:14.000742
4264,872820,XAUUSDc,BUY,4124.20008,4105.686,0.03,0.03,closed,5min,2026-07-02T18:36:10.803461
4263,872615,XAUUSDc,SELL,4131.33972,4141.483,0.03,0.03,closed,15min,2026-07-02T18:34:10.124620
4262,872297,XAUUSDc,SELL,4127.34732,4132.095,0.03,0.03,closed,5min,2026-07-02T18:34:09.374674
4261,872220,XAUUSDc,SELL,4127.04856,4134.951,0.03,0.03,closed,5min,2026-07-02T18:34:08.648746
4260,871653,XAUUSDc,SELL,4133.1066,4143.937,0.03,0.03,closed,30min,2026-07-02T18:34:06.768308
4259,871645,XAUUSDc,SELL,4162.43592,4204.985,0.03,0.03,closed,30min,2026-07-02T18:34:05.938640
4258,871638,XAUUSDc,SELL,4127.069439999999,4134.98,0.03,0.03,closed,30min,2026-07-02T18:34:05.189198
4257,872754,XAUUSDc,BUY,4123.364159999999,4105.686,0.03,0.03,closed,5min,2026-07-02T18:32:17.262335
4256,872152,XAUUSDc,BUY,4109.06164,4093.627,0.03,0.03,closed,5min,2026-07-02T18:31:05.120412
4255,872091,XAUUSDc,BUY,4105.29312,4086.378,0.03,0.03,closed,5min,2026-07-02T18:31:01.790043
4254,872082,XAUUSDc,BUY,4096.86856,4036.048,0.03,0.03,closed,5min,2026-07-02T18:30:58.857424
4253,872081,XAUUSDc,BUY,4107.279039999999,4036.048,0.03,0.03,closed,5min,2026-07-02T18:30:55.526081
4252,871804,XAUUSDc,BUY,4076.8164,4027.212,0.03,0.03,closed,15min,2026-07-02T18:30:51.021709
4251,871796,XAUUSDc,BUY,4062.21232,3997.174,0.03,0.03,closed,15min,2026-07-02T18:30:47.905922
4250,871771,XAUUSDc,BUY,4111.823439999999,4052.278,0.03,0.03,closed,15min,2026-07-02T18:30:44.836492
4249,871530,XAUUSDc,BUY,4091.28024,4028.394,0.03,0.03,closed,30min,2026-07-02T18:30:36.568185
4248,871526,XAUUSDc,BUY,4066.5301999999997,4005.143,0.03,0.03,closed,30min,2026-07-02T18:30:33.752775
4247,871524,XAUUSDc,BUY,4093.0968399999997,3962.365,0.03,0.03,closed,30min,2026-07-02T18:30:30.783501
4246,871522,XAUUSDc,BUY,4093.963,3962.365,0.03,0.03,closed,30min,2026-07-02T18:30:27.475683
4245,871118,XAUUSDc,BUY,4080.3609599999995,3915.954,0.03,0.03,closed,2H,2026-07-02T18:30:19.449313
4244,870640,XAUUSDc,BUY,4123.687040000001,4043.978,0.03,0.03,active,4H,2026-07-02T18:30:16.675089
4243,870371,XAUUSDc,SELL,4119.54148,4122.596,0.03,0.03,closed,5min,2026-07-02T18:26:11.933734
4242,870332,XAUUSDc,SELL,4119.21256,4120.521,0.03,0.03,closed,5min,2026-07-02T18:26:10.452847
4241,870223,XAUUSDc,SELL,4119.54148,4122.596,0.02,0.02,closed,5min,2026-07-02T18:20:10.111755
4240,870076,XAUUSDc,SELL,4122.35716,4126.11,0.02,0.02,closed,5min,2026-07-02T18:16:12.337557
4239,870072,XAUUSDc,SELL,4120.79056,4124.598,0.02,0.02,closed,5min,2026-07-02T18:16:11.599585
4238,869734,XAUUSDc,SELL,4127.34732,4132.095,0.02,0.02,closed,5min,2026-07-02T18:10:08.632697
4237,869695,XAUUSDc,SELL,4127.04856,4134.951,0.02,0.02,closed,5min,2026-07-02T18:10:07.852716
4236,869515,XAUUSDc,BUY,4109.06164,4093.627,0.02,0.02,closed,5min,2026-07-02T18:06:10.329681
4235,869478,XAUUSDc,BUY,4107.279039999999,4036.048,0.02,0.02,closed,5min,2026-07-02T18:06:08.919480
4234,868827,XAUUSDc,BUY,4087.8403200000002,3915.954,0.02,0.02,closed,2H,2026-07-02T18:06:05.591734
