id,fractal_id,symbol,direction,entry_price,sl_initial,volume_total,volume_per,status,source_timeframe,created_at
590,162658,XAUEURm,BUY,3605.46184,3489.022,0.03,0.01,cancelled_restart,2H,2026-06-12T20:25:18.764467
589,162443,XAUEURm,BUY,3624.85648,3598.066,0.03,0.01,cancelled_restart,4H,2026-06-12T20:25:17.254265
588,162441,XAUEURm,BUY,3624.9159600000003,3558.501,0.03,0.01,cancelled_restart,4H,2026-06-12T20:25:15.970785
587,161818,XAUEURm,BUY,3631.8536799999997,3576.4,0.03,0.01,cancelled_restart,15min,2026-06-12T20:25:14.732554
586,161481,XAUEURm,BUY,3586.79956,3509.365,0.03,0.01,cancelled_restart,30min,2026-06-12T20:25:13.400295
585,158552,XAUEURm,BUY,3626.5618,3609.901,0.03,0.01,cancelled_restart,30min,2026-06-12T20:25:12.098507
584,158549,XAUEURm,BUY,3613.0838799999997,3509.365,0.03,0.01,cancelled_restart,30min,2026-06-12T20:25:10.884991
583,158789,XAUEURm,BUY,3588.39868,3509.365,0.03,0.01,cancelled_restart,15min,2026-06-12T20:25:08.589854
582,158788,XAUEURm,BUY,3611.44168,3576.4,0.03,0.01,cancelled_restart,15min,2026-06-12T20:25:07.332111
581,163018,XAUEURm,BUY,3588.39868,3509.365,0.03,0.01,cancelled_restart,15min,2026-06-12T20:20:13.215910
580,155207,XAUEURm,BUY,3588.39868,3509.365,0.03,0.01,cancelled_restart,15min,2026-06-12T19:25:10.914752
579,154923,XAUEURm,BUY,3626.5618,3609.901,0.03,0.01,cancelled_restart,30min,2026-06-12T19:25:09.864186
578,154920,XAUEURm,BUY,3586.79956,3509.365,0.03,0.01,cancelled_restart,30min,2026-06-12T19:25:08.789084
577,154296,XAUEURm,BUY,3634.6106800000002,3588.607,0.03,0.01,cancelled_restart,2H,2026-06-12T19:25:07.738771
576,151944,XAUEURm,BUY,3639.51988,3631.255,0.03,0.01,cancelled_restart,15min,2026-06-12T19:02:48.317427
575,151938,XAUEURm,BUY,3588.39868,3509.365,0.03,0.01,cancelled_restart,15min,2026-06-12T19:02:46.576862
574,151937,XAUEURm,BUY,3611.44168,3576.4,0.03,0.01,cancelled_restart,15min,2026-06-12T19:02:44.910211
573,151696,XAUEURm,BUY,3613.0838799999997,3509.365,0.03,0.01,cancelled_restart,30min,2026-06-12T19:02:42.855112
572,151210,XAUEURm,BUY,3642.29224,3628.078,0.03,0.01,cancelled_restart,2H,2026-06-12T19:02:40.481968
571,151207,XAUEURm,BUY,3623.31228,3592.551,0.03,0.01,cancelled_restart,2H,2026-06-12T19:02:38.826472
570,150578,XAUEURm,BUY,3616.48612,3588.607,0.03,0.01,cancelled_restart,4H,2026-06-12T19:02:36.668617
569,149309,XAUEURm,BUY,3651.4790399999997,3638.586,0.03,0.01,cancelled_restart,5min,2026-06-12T18:45:07.322060
568,148646,XAUEURm,BUY,3645.21756,3631.665,0.03,0.01,cancelled_restart,15min,2026-06-12T18:42:37.332159
567,148645,XAUEURm,BUY,3649.37164,3608.071,0.03,0.01,cancelled_restart,15min,2026-06-12T18:42:35.524556
566,148638,XAUEURm,BUY,3588.39868,3509.365,0.03,0.01,cancelled_restart,15min,2026-06-12T18:42:33.844439
565,148399,XAUEURm,BUY,3649.11264,3607.146,0.03,0.01,cancelled_restart,30min,2026-06-12T18:42:31.699874
564,148397,XAUEURm,BUY,3613.0838799999997,3509.365,0.03,0.01,cancelled_restart,30min,2026-06-12T18:42:29.979351
563,147994,XAUEURm,BUY,3581.05672,3489.022,0.03,0.01,cancelled_restart,2H,2026-06-12T18:42:27.692462
562,147987,XAUEURm,BUY,3602.5246,3453.697,0.03,0.01,cancelled_restart,2H,2026-06-12T18:42:25.756403
561,147468,XAUEURm,BUY,3637.2592,3598.066,0.03,0.01,cancelled_restart,4H,2026-06-12T18:42:23.652857
